file,test,outcome,message,time
tests.integration.test_dashboard_api,test_dashboard_statistics,failure,assert 0 >= 1,0.890
tests.integration.test_logging_api,test_get_log_levels,failure,"requests.exceptions.ConnectionError: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/logging/levels (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000017905052720>: Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение'))",4.090
tests.integration.test_logging_api,test_get_module_level,failure,"requests.exceptions.ConnectionError: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/logging/levels/app (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000017904F3B680>: Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение'))",4.081
tests.integration.test_logging_api,test_set_module_level,failure,"requests.exceptions.ConnectionError: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/logging/levels/test.api (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000017904E96300>: Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение'))",4.082
tests.integration.test_logging_api,test_get_metrics,failure,"requests.exceptions.ConnectionError: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/logging/metrics (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000017904E97980>: Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение'))",4.118
tests.integration.test_logging_api,test_reset_metrics,failure,"requests.exceptions.ConnectionError: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/logging/metrics/reset (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000017904E94FB0>: Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение'))",4.112
tests.integration.test_logging_api,test_middleware_request_id,failure,"requests.exceptions.ConnectionError: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /health (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000017904C8E9C0>: Failed to establish a new connection: [WinError 10061] Подключение не установлено, т.к. конечный компьютер отверг запрос на подключение'))",4.077
tests.integration.test_planning_digital_twin.Test4ComplexTask,test_complex_task_planning,failure,"AssertionError: assert 1 > 3
 +  where 1 = len([{'agent': None, 'approval_required': False, 'dependencies': [], 'description': 'Create a complete e-commerce application with:\n        1. User authentication and authorization\n        2. Product catalog with categories\n        3. Shopping cart functionality\n        4. Order processing\n        5. Payment integration\n        6. Admin dashboard\n        7. Email notifications\n        8. Search functionality', ...}])
 +    where [{'agent': None, 'approval_required': False, 'dependencies': [], 'description': 'Create a complete e-commerce application with:\n        1. User authentication and authorization\n        2. Product catalog with categories\n        3. Shopping cart functionality\n        4. Order processing\n        5. Payment integration\n        6. Admin dashboard\n        7. Email notifications\n        8. Search functionality', ...}] = <Plan(id=28135644-081c-422a-85d1-b129b4f7f660, task_id=4d2cb0ed-a9b0-4a4c-9627-36965cae1a8b, version=1, status=draft)>.steps",0.168
tests.integration.test_prompt_ab_testing,test_get_prompt_with_ab_testing_no_testing_version,failure,NameError: name 'AsyncMock' is not defined,0.657
tests.integration.test_prompt_ab_testing,test_get_prompt_with_ab_testing_with_testing_version,failure,NameError: name 'AsyncMock' is not defined,0.700
tests.integration.test_prompt_auto_improvement,test_analyze_and_improve_prompts_low_success_rate,failure,NameError: name 'PromptUsage' is not defined,0.712
tests.cli.test_migrations_cli,test_build_parser_and_call_migrate,failure,SystemExit: 0,0.004
tests.docs.test_service_docs_present,test_service_docs_exist,failure,"AssertionError: Missing service docs: ['ApplicationCore.md', 'HTTPAPILayer.md', 'DataORMLayer.md', 'BusinessServices.md', 'AgentsAndPlanning.md', 'DecisionComponents.md', 'ToolsExternalIntegrations.md', 'RegistryServiceDiscovery.md', 'SecurityAuthPermissions.md', 'MemoryConversationStorage.md', 'OpsMigrations.md', 'UtilitiesObservability.md']
assert not ['ApplicationCore.md', 'HTTPAPILayer.md', 'DataORMLayer.md', 'BusinessServices.md', 'AgentsAndPlanning.md', 'DecisionComponents.md', ...]",0.001
tests.quick_test.TestWorkflowEngineBasic,test_initialization,failure,"AssertionError: assert 'INITIALIZED' == <WorkflowStat...'initialized'>
  - initialized
  + INITIALIZED",0.001
tests.quick_test.TestWorkflowEngineBasic,test_transition_to_parsing,failure,AssertionError: assert <Mock name='mock.transition_to()' id='1796850771504'> is True,0.001
tests.quick_test.TestWorkflowEngineBasic,test_transition_to_planning,failure,AssertionError: assert <Mock name='mock.transition_to()' id='1796851614880'> is True,0.001
tests.quick_test.TestWorkflowEngineBasic,test_invalid_transition,failure,AssertionError: assert <Mock name='mock.transition_to()' id='1796851618240'> is False,0.001
tests.quick_test.TestWorkflowEngineBasic,test_forced_transition,failure,AssertionError: assert <Mock name='mock.transition_to()' id='1796851622656'> is True,0.001
tests.quick_test.TestWorkflowEngineBasic,test_transition_history,failure,"assert 0 == 2
 +  where 0 = len([])",0.001
